3.4386224355,2.9666946977,2.5065572286,2.2697760634,2.1383891398,2.0120098765,2.1501757829,2.1190741435,2.1109085702,2.0820775908
1000799917195.6882324219,694509875957.6331787109,328336206721.5168457031,121976047204.4590759277,101967248265.6294250488,134541556595.2693176270,199783930029.0903625488,2939421947.6241278648,34014656663.2816390991,54868660517.5796432495
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.3134907951,2.2110938822,2.1279821909,2.0038140358,1.7925535028,1.9109512666,1.8507118292,1.9505811211,1.9443299925,1.9918979346
4.2235619879,3.8631817233,3.4532900188,3.2162901242,3.1161924090,2.9946002606,2.9376921913,2.9343927347,2.9226018336,2.8879388109
3.5092778812,3.0529688851,2.8788453699,2.8561421157,2.7999942955,2.7541325429,2.6757428503,2.6381335924,2.6080888620,2.6330257454
3.0471379216,3.0101462965,2.6571924551,2.4238600093,2.2840335700,2.1842334840,2.1025044686,2.1743898452,2.1339185891,2.1479527932
2.5175823006,2.3727698791,2.2321690221,2.2087799528,2.0668484071,2.0172780138,1.9931785726,2.0495978466,2.1284819208,2.1221001103
6265877742431.6845703125,4123743099393.5615234375,3834109990471.7294921875,3443156544121.5087890625,4047718848245.8427734375,3851350572449.3881835938,3505856252556.1274414062,3461400792044.4033203125,3624812467850.1577148438,4242580451550.7802734375
2.1960920436,2.0828373600,1.8876925388,1.7929645671,1.7435270048,1.6789350592,1.6761336848,1.6473431803,1.6577619862,1.6531413031
2958886711705.4946289062,3112857415138.9731445312,2225298348485.0688476562,1708402866054.2192382812,1435190401525.2133789062,1356777993865.1115722656,1234905423376.3588867188,1475022892989.7436523438,1373208534546.8857421875,1455397432798.3452148438
3.7128033478,3.6976937966,2.9988242005,2.8567957809,2.7563253762,2.6682744315,2.5976296115,2.6670897844,2.7172629087,2.7854427836
2.6790271077,2.7111369921,2.4442036345,2.2064737316,2.0902989118,2.0246981862,2.0124274814,1.9373821480,1.9925622284,2.0259034895
2.9234631139,2.6621360832,2.6868743314,2.5422917560,2.4194869699,2.3513628435,2.2426821586,2.2172481379,2.1849683407,2.1764352267
3.9887627962,4.0630255496,3.7994515218,3.6175457180,3.2652957711,3.3188904175,3.2199469964,3.2881809941,3.3569930513,3.2682856604
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.9374024982,2.5173532835,2.2335308868,2.1048712036,1.9900795855,1.9173562758,1.8905109537,1.9100920032,1.9129964213,1.9142851839
2.3310727316,2.2479802439,2.0303043878,1.9505725431,1.8976101158,1.8433095551,1.8389831235,1.8096860756,1.8064535890,1.8016802103
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3.2213344037,2.7674280914,2.5660228973,2.5175744401,2.3967363407,2.3389544501,2.3302079438,2.2399631206,2.2888746494,2.3061426459
2.5111379930,2.0605119574,1.9361738344,1.8494601286,1.7062248987,1.7071881716,1.7491746616,1.7247821394,1.7766406939,1.7789372813
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4.6017087383,3.5733451938,2.9917986443,2.6238608932,2.6199163855,2.4056891307,2.4051952787,2.4222230978,2.4598556875,2.4178077706
3.9470675926,3.5520998025,3.1458542401,2.8786957829,2.7399612654,2.8153568551,2.7599658537,2.6811436174,2.7611839622,2.7491331866
3.4685919157,3.0023090309,2.7605649695,2.6512631683,2.4984343637,2.3264026446,2.3885525237,2.2991050572,2.3790754865,2.3355697540
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.4088719466,2.1074573886,1.8443713675,1.7355285180,1.6519271761,1.6430864617,1.5780618547,1.5821023128,1.6061054305,1.5946403082
2.4944675760,2.1572286693,1.8496773365,1.7034797765,1.6046255815,1.5976643199,1.6034006935,1.5779214015,1.6024301925,1.5674521909
3132938871216.9428710938,3084576673344.3354492188,2066312855249.5065917969,2341298620526.3637695312,2106260073836.4614257812,1644756595974.4074707031,1776700708985.8979492188,2026043695079.2136230469,1922934613742.6030273438,2232250964826.8876953125
2.5756496359,2.5027262728,2.2470025370,2.0611443699,2.0113294829,1.9189285019,1.8916595992,1.8876445049,1.8935619097,1.8730456646
