Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
1.0161101284,2.8322485421,1.1507718825,1.5315105340,1.0159451266,1.0126206443,1.0127528477,1.0091470714,9.1991920238,2.0758134122
1.0257121922,3.5625071398,1.0474298403,1.4354791491,1.0256324254,1.0230120301,1.0359989988,1.0297038589,4.0817044269,1.6888848300
1.0350254848,2.7006779516,1.1995190680,1.0156844020,1.0351394501,1.0246359399,1.0277563896,1.0207032282,6.9976612316,1.4782066206
1.0209701920,3.3693867536,1.1940822604,1.3244157111,1.0208356678,1.0183519945,1.0103766587,1.0120379674,4.2818705846,1.5066477611
1.0339850881,3.2604533611,1.0617075656,1.0160090058,1.0337518142,1.0117445625,1.0148362074,1.0283099825,4.6442775694,1.8231118697
1.0109685008,3.1518416190,1.1230572434,2.1815917313,1.0113004701,1.0233712942,1.0247574456,1.0193229611,8.7191504437,1.6354516941
1.0494807630,4.8037782951,1.0595876734,1.2195473164,1.0495924653,1.0187650648,1.0269154697,1.0251111810,3.5235583458,1.8471506739
1.0179554720,2.3503303691,1.0940872495,1.0206434811,1.0181837162,1.0145854391,1.0191606620,1.0265173247,6.6712909078,2.4023893823
1.0653726038,3.1554325422,1.4265616641,1.1495550436,1.0661192097,1.0492787512,1.0394424065,1.0339301462,8.3590574081,2.6058770273
1.0300111479,3.1497391455,1.2581461385,2.5569919725,1.0303515617,1.0336451731,1.0139285100,1.0204664968,13.2685638735,1.3644255973
1.0147699013,3.4880426727,1.1138354311,1.7007446558,1.0150754436,1.0342269822,1.0310057271,1.0318701281,8.1508462012,1.5654733977
1.7482275152,3.1375325055,1.0263096979,1.6493096872,1.7521437741,1.0466045540,1.0441636303,1.0407227206,7.1908601601,1.9293926293
1.0325774649,2.8903452097,1.1667266674,1.3590019363,1.0329082376,1.0243767060,1.0348588929,1.0319842977,4.1324442302,2.3003430773
1.0649656737,3.6490736802,1.1382049506,1.0066712580,1.0658187361,1.1310350548,1.0857937461,1.0960873057,6.9603000244,4.2852821404
1.0309595603,3.5753848601,1.2506018391,1.0582698078,1.0309773013,1.0341751999,1.0155795522,1.0261808378,10.2930746280,1.8718029508
1.0227071266,3.0995621425,1.2349759915,1.0218330353,1.0229839190,1.0256944528,1.0182896060,1.0111735007,8.4438257320,1.8951642667
1.0321384430,3.5633211849,1.1538704586,1.1169666853,1.0328883525,1.0318395950,1.0302347476,1.0194228227,6.8516215617,1.7283403595
1.0304612820,4.5330886915,1.0993148534,2.0784111449,1.0303871080,1.0423196182,1.0281717393,1.0349649147,4.3268350045,2.2274399134
1.0269906694,3.8901919687,1.0575353442,1.0155202293,1.0270802861,1.0217735591,1.0253729871,1.0103532429,3.7473272762,3.5425380764
1.0198920095,3.1020107498,1.1000363957,1.0201407839,1.0200829480,1.0378070634,1.0488848460,1.0462921560,3.4603235624,1.6056819500
1.0112701815,2.7648104702,1.3396340003,1.1266758173,1.0111866263,1.0278336726,1.0276027404,1.0238841713,3.3437223479,1.5871913789
13.2349397487,2.7918339857,1.0472643825,1.2959673623,3.2092756842,1.0530702972,1.0843517245,1.0495693612,10.4923927741,7.0750970760
1.0333980962,3.8257414451,1.1656279441,1.4588425332,1.0330117146,1.0236161513,1.0262487594,1.0350627395,7.4404295573,1.9021731060
1.0213829125,2.8318492891,1.0674456636,1.0130891785,1.0213918872,1.0452785332,1.0310989674,1.0268944678,8.1741976423,4.4589718543
1.0950960999,3.4161309002,1.1315827254,1.4531087119,1.0956223934,1.0140650741,1.0082841865,1.0079007473,6.9389296642,1.6695924032
1.0603763124,2.7714332342,1.0740590406,1.4007763565,1.0607993699,1.0853762938,1.0905882025,1.0473175511,9.3558761704,1.8370209706
1.0197272840,3.4383706641,1.0639448888,1.0087017103,1.0190139421,1.0213345420,1.0219362417,1.0148061723,7.5350852602,4.1218389758
1.0160897135,2.9314984188,1.0577285850,1.5272736064,1.0162450178,1.0206482637,1.0283771267,1.0195153810,3.8091742399,1.5747217861
1.0430410857,2.5721965151,1.1415457767,1.0691015780,1.0435548901,1.0459072386,1.0655410806,1.0412988669,7.8690020568,1.4549865167
1.0129042027,3.3872875549,1.0386896783,1.4918723357,1.0129833936,1.0150513760,1.0060370282,1.0082307788,7.1139183669,1.6129342749
