B,FS,K,T
1.33048,3.23849,1.33608,1.50973
1.42100,1.33499,1.21272,1.02000
1.15432,1.02167,1.19789,1.19771
1.69825,5.82369,2.00655,5.16899
50.00000,50.00000,50.00000,50.00000
1.94563,7.87479,1.75159,4.49799
1.30482,2.43377,1.31200,1.43956
1.66477,1.05505,1.76720,1.90767
1.71716,1.02000,1.87659,1.80085
50.00000,50.00000,50.00000,3.05296
50.00000,50.00000,50.00000,50.00000
1.56409,34.56153,1.35872,1.02000
1.43306,1.42004,1.43719,1.36752
1.35780,50.00000,1.62241,1.61466
1.52820,4.65126,1.52820,1.61004
1.52820,4.65126,1.52820,1.61004
1.11834,1.03008,1.05194,1.09167
1.25293,1.02000,1.08638,1.19994
1.14975,1.94710,1.02260,1.15695
1.32908,3.79801,1.40289,1.44995
1.14736,2.70254,1.23420,1.33873
39.37478,50.00000,39.34659,1.02000
1.56233,7.51078,1.74475,1.72447
1.25820,2.19072,1.26306,1.35396
1.33887,1.08303,1.33887,1.36544
1.32694,1.07436,1.28037,1.32571
1.53515,1.19050,1.68448,1.68196
1.10155,1.05372,1.11626,1.13613
50.00000,1.02000,34.33767,1.02000
1.42743,3.08678,1.33995,1.45072
7.60525,50.00000,7.66158,2.21208
1.15656,1.72531,1.17133,1.52205
1.02000,1.58722,1.02000,1.46245
1.02000,1.61702,1.02000,1.46904
1.02000,1.56980,1.02000,1.44245
1.32686,3.21427,1.32693,1.57294
1.85490,50.00000,2.25371,5.22336
50.00000,50.00000,50.00000,50.00000
1.49979,4.13381,1.49972,1.51080
1.18230,2.02073,1.18770,1.30548
1.89384,1.14683,1.62929,1.89384
2.37612,50.00000,2.39325,7.28166
1.23774,2.37884,1.22067,1.43215
1.21140,1.84292,1.21569,1.29479
1.41424,2.90542,1.02000,1.44172
1.30731,1.06363,1.56563,1.65398
1.80352,50.00000,1.81941,2.92567
2.11243,7.87479,2.21889,2.28284
1.02000,23.83294,1.02000,1.02000
1.02000,1.02102,14.46280,4.33574
1.02046,29.41343,10.43336,7.87479
50.00000,1.02015,26.51964,26.42699
1.21985,2.14073,1.22858,1.34766
1.09920,1.39855,1.09750,1.22370
1.04229,1.19722,1.04244,1.10543
1.03471,1.03402,1.03415,1.05667
1.02000,2.01063,1.02000,1.43827
1.09224,1.38897,1.08926,1.22581
1.03792,1.16077,1.03872,1.09468
1.02309,1.02316,1.02355,1.04904
1.22710,1.91790,1.22381,1.43233
1.08040,1.33902,1.08071,1.21319
1.03136,1.11234,1.03279,1.09682
1.02000,1.07668,1.02000,1.04767
1.19166,1.79922,1.27383,1.40278
1.11595,1.46315,1.11302,1.24701
1.03236,1.18726,1.04030,1.10446
1.03101,1.13114,1.03121,1.05823
1.23749,2.57405,1.23749,1.52425
1.10521,1.59091,1.10521,1.29239
1.04343,1.18119,1.04335,1.10126
1.02058,1.09196,1.02060,1.05031
1.34745,2.71875,1.38352,1.55127
1.12508,1.46974,1.12486,1.25501
1.03878,1.15419,1.03850,1.09622
1.02000,1.02000,1.02000,1.04916
1.25218,2.67901,1.25218,1.53896
1.16730,1.66290,1.16733,1.29547
1.06575,1.03536,1.06607,1.11444
1.03474,1.03453,1.03432,1.05927
1.57081,4.95575,1.57081,1.68969
1.14109,1.53484,1.14270,1.27450
1.04117,1.18231,1.04140,1.10307
1.02092,1.02000,1.02055,1.05025
1.74665,6.21219,1.74665,1.71763
1.12836,1.52381,1.12836,1.27842
1.04386,1.02000,1.04380,1.10201
1.02000,1.08188,1.02000,1.04844
1.52482,4.55520,1.51787,1.69028
1.26350,1.99661,1.26645,1.37702
1.07331,1.02000,1.07266,1.12841
1.03158,1.02360,1.02993,1.05795
50.00000,1.02560,50.00000,50.00000
1.21139,1.82042,1.20941,1.34891
1.05162,1.21488,1.05105,1.11285
1.02561,1.02000,1.02481,1.05248
50.00000,50.00000,50.00000,1.94938
1.20832,1.76431,1.21043,1.33342
1.04530,1.18634,1.04578,1.10695
1.02200,1.08963,1.02190,1.04977
50.00000,50.00000,4.74675,50.00000
1.02929,1.02820,1.02929,1.03066
1.06959,1.97003,1.07308,1.38058
1.05430,1.03318,1.05335,1.11329
1.03231,1.03174,1.03208,1.05950
1.02000,1.02000,1.02000,1.02681
1.13552,1.07681,1.13552,1.36067
1.05570,1.21768,1.05550,1.11562
1.02640,1.02000,1.02669,1.05396
1.02000,1.02000,1.02000,1.02456
1.22898,1.89419,1.23077,1.37599
1.04166,1.20487,1.04155,1.10972
1.02419,1.02000,1.02538,1.05322
50.00000,50.00000,50.00000,1.91853
1.88937,50.00000,50.00000,1.02000
1.02433,24.33663,50.00000,1.02000
1.02000,50.00000,1.02000,1.94398
1.51908,3.86579,1.41827,1.51192
1.57322,3.29513,1.57552,1.60715
2.08759,1.02000,1.62293,1.02003
1.45031,2.34130,1.26556,1.02000
1.31167,2.27496,1.30903,1.38095
1.38841,2.48976,1.22754,1.29844
1.83191,6.94654,1.84942,1.55171
13.51454,50.00000,1.77975,2.20122
1.54986,22.99171,1.71139,1.80767
1.02000,12.04713,1.04752,1.02000
1.45204,3.10381,1.35219,1.37109
1.45204,3.10381,1.35219,1.37109
1.52782,18.78663,1.50474,1.59262
1.23066,1.14157,1.18541,1.21047
1.49620,4.42259,1.49620,1.40896
1.76580,1.02000,1.68622,1.68833
1.84303,1.84189,1.82794,1.82794
1.35233,3.17233,1.35187,1.47596
44.52436,46.12523,44.52481,1.02043
1.31348,1.19463,1.21230,1.11179
1.53592,5.27983,1.41436,1.47460
1.28394,1.07374,1.16195,1.13435
1.43159,1.02000,1.32614,1.32547
1.19917,1.87462,1.19601,1.32597
2.15961,50.00000,1.77659,1.95793
1.07925,1.08337,1.08718,1.22171
1.37707,3.70242,1.39541,1.24231
1.41617,3.85080,1.41852,1.58256
1.02000,3.80479,1.02003,1.02000
50.00000,50.00000,50.00000,3.05296
1.21928,2.02505,1.23528,1.44409
1.35527,2.82466,1.35203,1.49967
1.32069,1.10479,1.32080,1.43554
2.15035,20.66184,6.67246,1.02000
1.07467,50.00000,1.02000,50.00000
1.02000,1.03184,1.02000,1.49927
1.12359,1.06854,1.12362,1.20037
1.05393,1.02000,1.09759,1.20212
1.13869,1.85861,1.13808,1.30190
39.46082,50.00000,39.35817,39.55851
50.00000,1.02046,44.24088,4.38826
50.00000,1.02000,1.06415,10.45745
1.48552,1.04059,1.26902,2.71236
1.02000,50.00000,4.74538,2.17670
1.86297,1.02046,18.82479,1.02000
1.86297,1.02046,18.82479,1.02000
1.02000,1.02000,1.02081,1.19518
1.41719,3.21906,1.42064,1.52000
2.19727,1.02000,38.81258,5.51680
1.69717,1.02000,1.69717,1.64392
1.21496,1.84790,1.21499,1.25936
1.21873,2.11232,1.21164,1.24144
1.36841,1.02000,1.23393,1.27389
1.28587,1.15612,1.17135,1.26242
1.79280,19.27397,3.76810,1.02000
1.32059,1.02000,1.35694,1.31894
1.31894,1.22990,1.31894,1.47838
1.35281,1.02000,1.19003,1.21764
2.01222,1.03184,2.21276,1.88965
1.32803,3.22096,1.32803,1.36158
1.78856,1.02000,1.47178,1.67276
1.02000,1.02000,1.02000,1.99316
1.35286,3.39842,1.35286,1.35286
1.15246,1.13076,1.15246,1.15456
1.02000,1.98638,1.02000,1.21586
1.49238,1.16415,1.45450,1.58492
1.02000,50.00000,50.00000,1.02000
1.43242,4.78892,1.54746,1.56476
1.80633,50.00000,2.39728,5.42755
37.38322,50.00000,37.15823,11.06175
1.02000,11.62144,1.46312,2.01839
50.00000,1.02219,20.66184,13.62061
1.55470,1.21514,1.49541,1.73529
1.52850,4.41696,1.52064,1.64753
1.31268,2.44780,1.30805,1.41286
1.44401,1.21595,1.43541,1.90579
1.30323,4.37878,1.45589,1.49739
1.50089,1.02000,1.29519,1.97519
1.55007,1.18661,1.36542,1.35777
1.28109,2.37714,1.29271,1.35577
1.42735,1.11922,1.14181,1.41647
1.21515,1.41849,1.08353,1.08137
1.17934,1.06304,1.05207,1.11743
