B,FS,K,T
34230277.1032374352,18816.1073083706,2124879855482137226350952448.0000000000,1565.1399239107
27829556.4316399321,9253.4555413170,776272723462970887295205376.0000000000,2111.8885230352
5368609.4917731900,13244.2625416566,33615216518887304913054205911964319744.0000000000,781.1029874295
11982094.8845601957,4603.3331312063,1071907849952983097802752.0000000000,2148.1982765671
5451554.5039573777,1434.6207924578,350000325598760314757743982411776.0000000000,8896.4408856618
10576360.3893041033,13627.8117106980,98926595989556491631345008640.0000000000,6861.7330115387
824193577.1921788454,22094.2557918992,34198086842449950400315392.0000000000,2914.8941199416
9281452.8260009773,11232.6510615272,3560935011675280918537046065152.0000000000,2130.2809596289
44474833.0159099549,54546.6086293645,885307127292888481792.0000000000,2242.8863933106
777255679.1389964819,141300.3314221903,100024511965629526310912.0000000000,2541.8100869017
3338886.2507850071,1213.9868193097,1808135463658722891407556608.0000000000,3064.7095206984
32587500.6336188205,10685.3578529569,21590382811465741659799552.0000000000,1048.0678056100
690675294.0222297907,10817.2503955414,147827279045817920.0000000000,4683.8512993826
90137110.1219065338,7311.4499488271,457466571579139257045876736.0000000000,1535.0546507430
6890506.7515695151,6449.8922675964,573331191448717312.0000000000,7581.7189580565
70143102.7382601500,14760.7546715332,6361029466842557246782452480499253248.0000000000,1862.0159431974
24637925.4557676949,26847.5587685627,1202940750065869.7500000000,1624.7287543137
10373379.3777444884,37406.2564865973,15617270210684210584546134982656.0000000000,18496.8596741490
162898447.1563645005,4995.1079246640,4288745337648879411453231104.0000000000,7935.0727671086
25273589.1130310968,24214.6409677662,8688359600337194586210304.0000000000,248921.6340966473
44468713.7982458249,5911.3262928339,101909568095275021550094746416194781184.0000000000,4344.8873976942
131879627.2598144710,110796.6917550447,9291975693788013175297277952.0000000000,23721.4344661741
26535822.7167426422,4391.8616730648,3369848324487300198699106304.0000000000,4163.4533869024
15678120.5274766944,15893.1390810988,1613220682306531306174939136.0000000000,1577.6316977483
16765431.4731038716,2071.0310240055,722257460073298862800896.0000000000,5064.5462007595
27059040.6576084793,111652.0884845198,183930267521419328.0000000000,4825.1173314642
223789830.2985982001,5553.8314452480,59245995477243821910130688.0000000000,52220.7262199588
5345840.4635673724,2101.0204870530,20263832395766350929125026220849758208.0000000000,3130.0693343301
38355870.2718148977,14233.8943732090,20351188886339787650236416.0000000000,11908.4184967839
11929866.6810439434,35187.7998280803,260710339110368356357461277409280.0000000000,5770.0665414732
