B,FS,K,T
0.3711226676,53.7309725376,2.5935011482,1.5090301208
0.3704525795,57.5954046772,2.5854018784,0.8033022905
0.3712103236,56.7975748982,2.6071520564,0.8042400000
0.3720215977,57.9247297901,2.6019095966,0.8024903474
0.3704804839,58.3384530086,2.6005685548,0.8621352638
0.3708094245,58.3619416223,2.5926087064,1.5090424272
0.3713672353,58.1746688158,2.6071653036,0.8027323967
0.3689285686,59.6207286544,2.5832879464,1.1618783840
0.3721819364,58.0178584847,2.5951147310,1.7523553715
0.3721856911,59.0826219448,2.6251839296,0.8049422572
0.3727060039,57.7532856400,2.5965306686,1.1559467723
0.3753363107,58.6859955398,2.5927715775,0.8572999697
0.3731746735,57.7861146753,2.6358908462,1.5746990231
0.3793176564,57.9370953198,2.6065454073,0.8056423564
0.3716145029,58.6946804131,2.6027908742,0.8032807917
0.3712771022,57.7912912385,2.5938257867,1.5094407739
0.3709605392,58.6299014280,2.5845588148,0.8022675674
0.3718042520,51.6688689676,2.6216220753,0.8009156046
0.3710662950,58.3958505327,2.5844792814,0.8562439431
0.3709051516,56.8985568909,2.5937354598,1.5764564711
0.3708491639,58.5172831736,2.6041793281,0.8044088661
0.3705075845,57.6650619262,2.5925118521,1.5720512615
0.3713538109,58.0481544695,2.5865485676,1.5097282920
0.3716978384,57.3352605514,2.5919786336,0.8043247543
0.3707218155,58.8707684458,2.6024520612,0.8578522817
0.3741702180,58.2155177885,2.5936626961,1.5141277224
0.3736933379,59.2436494655,2.5857847719,1.1589791549
0.3718640317,58.1844664242,2.6349898649,1.5759112981
0.3717819942,58.6893907204,2.5934268444,1.5764801130
0.3716325329,58.9169139804,2.5916175673,0.8025937273
