450359962738.8908081055,2009994812239.8703613281,1375751574639.8139648438,16923677901323.1875000000,14368346866988.5097656250,12676127309151.4765625000,11248086788934.1542968750,10240724128784.7070312500,9524908322956.9375000000,8948202845445.3144531250
1.3820879100,1.1745457109,1.0004764177,1.1042219344,1.1246613315,1.0922124291,1.0431873861,1.0351785062,1.3503718592,1.6020698296
1.7214045311,1.5509197746,1.3889735743,1.2636318067,1.1996298964,1.1117331075,1.0605360210,1.1391949290,1.3662812070,1.4750981757
1.9206323561,1.8111189712,1.4092311456,1.3025019707,1.2290649882,1.1269957222,1.2283054625,1.3047084102,1.2352944898,1.1962548021
1.9290713281,1.7899796281,1.6836964668,1.4599750611,1.4094521985,1.4017953256,1.3711035447,1.2912384940,1.3236440487,1.3395171650
1.3406129436,1.4659785143,1.2592177320,1.1708933994,1.1636686010,1.0882702931,1.0248160457,0.9885861338,1.0698036739,1.1563944059
2251799813692.0507812500,3338432823593.7319335938,3057842721304.3750000000,4510745801547.5419921875,3876912524698.2001953125,3474247975098.0322265625,3357542581836.5781250000,3113920267200.2197265625,2936415881418.6220703125,2795115930324.9511718750
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.2593938833,1.0415465994,1.0201351881,1.0807816239,1.1147581804,1.0178915974,0.9538741643,1.1405102583,1.3474707609,1.3990127578
4.1767528835,4.2089917445,3.5247953419,3.0327383198,2.6854802534,2.4495490997,2.2303707166,2.0639405675,2.2911991320,2.4827151856
1.3483335984,1.6359290782,1.3471422454,1.3211129182,1.3036814266,1.2643304258,1.2210093996,1.0890687675,1.2942009382,1.3705317063
2.2461246421,2.2181303951,1.7698062542,1.7809394248,1.8058298767,1.7421922000,1.6899653370,1.6273457398,2.1374549447,2.6016194436
1.5697288116,1.9991719690,1.6844396550,1.5431285631,1.5338352786,1.4979422388,1.6243773882,1.7980729388,1.7104989320,1.7105983838
3.9065142212,3.0294534824,2.5136613475,2.2286170410,2.2326688866,2.0621292976,2.0103685290,2.0073290213,2.7985065408,3.5917053212
2.1702889226,2.0551715616,1.6892650879,1.5409560081,1.4837231346,1.3701573698,1.4999930618,1.6279849874,1.5674985571,1.5097293130
2.7772227443,2.9718952035,2.4239108477,2.1921909828,2.0608215379,1.9561827097,1.9506717702,1.9546762474,2.0861733801,2.2232539474
0.8996859332,0.8440591707,0.8587106120,0.7972256976,0.7542786138,0.7384498298,0.7580117352,0.7280527159,0.8071547684,0.8832153100
1.3796424723,4.1429436563,3.3377951256,2.8469492434,2.4545039973,2.1844757088,2.1419944922,2.2483119649,2.1935885187,2.0779954074
5.4538562881,4.9075908269,3.8008392704,3.4176577735,3.3465479120,3.2213831301,3.0969353233,3.0220664867,3.0995122356,3.0939485012
1.8842975335,1.8047483908,1.6848452499,1.4162668791,1.2083045927,1.0733157835,0.9520579758,0.9558756459,1.0946024819,1.1031520629
1.8652882069,1.6000028865,1.4166636635,1.2467183761,1.1320296807,1.0442296974,0.9783206565,0.9497900448,1.0384860938,1.0759753081
2.3314825293,2.7761877723,2.4072202113,2.7061515366,2.4420174837,2.6758758332,2.5522979336,2.4649719494,2.3812115677,2.3065900484
5.2719411127,5.3504571317,4.4204886550,3.8575360723,3.4659073686,3.1272251103,2.8651616704,3.4483186913,3.9558388957,3.7147961391
5.5993125196,5.6376674166,4.4873200934,3.7949040383,3.3912853724,3.1822246636,3.0477765036,2.9669181755,2.8751987405,2.8007504797
1.7432038212,1.5558915572,1.3690444567,1.3172255720,1.2982797867,1.2524557225,1.1838987103,1.1306782247,1.4009584137,1.6294710241
4.5823113190,4.3809067325,3.3202096006,3.0915428354,2.7596224573,2.5007336534,2.3167152416,2.8765328841,3.3689040483,3.1611596661
6.1626179719,6.3394698447,4.9572751190,4.3627496734,4.0221006797,3.6356193442,3.3713310666,3.4332075457,3.5947783617,3.5863574241
2.8170324575,2.6567557964,2.1367104561,1.9487385342,1.7389222363,1.6373357141,1.5459521599,1.5458220260,1.5627432210,1.5058455592
0.8453824188,0.6932367287,0.7449825457,0.7433061490,0.6914224214,0.6523086758,0.6298926887,0.6659444468,0.7079341119,0.6825211835
2.2852013398,2.0824939062,1.7786747481,1.5655666864,1.4668266705,1.4070443293,1.5180950408,1.6041591622,1.5477308750,1.5048302124
