B,FS,K,T
0.3719412717,0.9969431691,0.6144703550,0.4829001415
0.3946767061,0.9636451856,0.5829971895,0.4722919959
0.3767728450,0.9864077150,0.7344483125,0.5631899871
0.4178377861,0.9906454114,0.7221909741,0.5350733048
0.3725795744,1.0511657527,0.6780653911,0.5093565463
0.3938578356,1.0799864231,0.4586274990,0.5237675610
0.4041860440,1.0337220405,0.5144793255,0.4881367730
0.3961986660,1.0115419072,0.7353489719,0.6118327549
0.3825386426,1.0132237933,0.6516211705,0.5583307976
0.4639205625,1.0893497702,0.7242234069,0.4280989636
0.4519480587,0.9512980793,0.4721307138,0.4235627234
0.3975328611,1.0442254871,0.6314712470,0.5874418761
0.3799447768,1.0179213510,0.6712845845,0.5686511615
0.4030817477,0.9587682424,0.5576341441,0.5209524610
0.3840763666,1.0211564954,0.6005944134,0.5273749169
0.3695220050,0.9938239450,0.5066309999,0.5013185442
0.3950990874,0.9235504667,0.5759595225,0.6033005835
0.3832718741,1.0598920205,0.4999337457,0.5024473512
0.4259277281,1.0637004694,0.6938893624,0.7387994899
0.4344769516,0.9709369065,0.5184772173,0.5537805329
0.4086433172,0.9946251565,0.6554805603,0.5230082368
0.3921671673,0.9750753587,0.5667949995,0.5458354809
0.3954507735,1.1022999803,0.5289856358,0.5846278414
0.4142504693,1.2590940737,0.5493713501,0.5953940863
0.4024912377,0.9901688240,0.5718496480,0.6100164948
0.4017830809,1.0515392239,0.4430202396,0.4920698128
0.4048469620,0.9486475869,0.5279217482,0.4661173223
0.4389094113,1.0530255255,0.6442160594,0.5813926316
0.4086330888,1.1162037608,0.6216880235,0.5555642445
0.3835311430,0.9547653914,0.5040550437,0.4714587867
