B,FS,K,T
0.2292572949,0.1315085778,0.2300168636,0.2082143706
0.2279610753,0.1355186947,0.2291004092,0.2076559467
0.2279949393,0.1315808225,0.2282912223,0.2105259378
0.2276174589,0.1383106292,0.2301047026,0.2061760559
0.2282763110,0.1277468444,0.2283922264,0.2074254372
0.2301296270,0.1322484045,0.2355934835,0.2102136774
0.2271164711,0.1261925121,0.2346153298,0.2057739535
0.2286261793,0.1314465237,0.2294872135,0.2090670106
0.2286421370,0.1311191620,0.2301453342,0.2105946307
0.2230984605,0.1288537372,0.2284946258,0.2050943068
0.2248534047,0.1320814080,0.2344867602,0.2047972548
0.2293457904,0.1322807452,0.2298402770,0.2097198597
0.2276180119,0.1325292279,0.2293008429,0.2084690530
0.2292267157,0.1355224721,0.2333302479,0.2086262165
0.2297711165,0.1269241040,0.2294097879,0.2090326182
0.2273446558,0.1372107111,0.2346511945,0.2068976283
0.2283387409,0.1401110369,0.2323595251,0.2095126692
0.2278644002,0.1298858757,0.2344757240,0.2070305555
0.2257918570,0.1311328423,0.2294711687,0.2042972469
0.2276812794,0.1339327494,0.2347958054,0.2076880785
0.2261237962,0.1298342036,0.2302367438,0.2070994875
0.2299033609,0.1285254933,0.2339071055,0.2082576394
0.2268375887,0.1220853586,0.2340388884,0.2090763628
0.2299944086,0.1202887068,0.2323571013,0.2078117835
0.2292337216,0.1311348274,0.2325187376,0.2087800267
0.2263440959,0.1321892455,0.2342966855,0.2107157532
0.2271987997,0.1306254133,0.2324908938,0.2057053494
0.2262939611,0.1296193563,0.2294952664,0.2097422710
0.2278115607,0.1266664559,0.2301858699,0.2106848347
0.2298046497,0.1368949071,0.2345594310,0.2074091197
