3602879701897.7290039062,3214400518614.9506835938,2071874119487.7182617188,1690966081345.0520019531,1468738132291.9624023438,1329425545597.7014160156,2067927122216.3789062500,1948406799094.8901367188,1817118953157.8261718750,3173869769333.1997070312
1.8587092345,3.1786086759,3.2436098191,2.7363896822,2.4327847935,2.2687793544,2.1237510614,2.0471278104,1.9418436536,1.8972262191
1.1328133403,2.3010830150,2.7157439573,2.2359416450,1.9569968989,1.8330462038,1.7278884452,1.6371215348,1.5555119802,1.5091922257
2.1896757388,3.1139615009,2.9931249812,2.4791982718,2.2422944861,2.0563924983,1.8793300361,1.7851173040,1.6981596309,1.6447896987
0.8378608601,3.5872626226,4.7401022354,3.8465131440,3.3483597133,3.0340258886,2.7929210802,2.6214199098,2.4848394079,2.4419617544
1.7414109124,2.8026989345,3.2547775298,2.6967256043,2.5006164170,2.2796265694,2.0966069018,1.9921355089,1.9205113583,1.8163684400
4503599627380.5517578125,3987398163072.2333984375,3433241264745.1259765625,3560443477338.1196289062,3339753068215.5732421875,2516481483706.6523437500,1753259154139.6909179688,1964799367862.4953613281,2134017355100.0434570312,2271790502494.0434570312
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.0257136702,2.2875163766,2.3178667669,1.9716862269,1.7614800840,1.6264848591,1.5269338592,1.4480131337,1.4046842204,1.3618930289
0.8704548515,2.4686287899,3.0521065655,2.5967876208,2.2978079304,2.0664730214,1.9048413290,1.7803653751,1.6966273046,1.8000319432
1.5751597559,1.7980800218,1.8267936518,1.7674101679,1.7059143244,1.6304560289,1.5353157453,1.5261089982,1.5825061538,1.6390348719
1.9959006968,3.2044486877,3.7872946005,3.2896783070,3.0092630947,2.8671554614,2.7045300574,2.6818702091,2.5939808236,2.5747037545
2.6087649601,3.2365478898,3.0164051844,2.5597169607,2.3121941817,2.1773262877,2.0241341970,2.1992827921,2.3240978853,2.2651658708
2.2850064827,8.4539069600,11.3251112176,9.6102164621,8.3851097510,7.6901738307,7.0902086405,6.6574118588,6.3308345663,5.9838994031
1.8766428807,2.9009972205,3.3515120599,2.8883997809,2.6019718023,2.4356817995,2.2993122114,2.1445453054,2.0441825820,1.9781428421
1.7305865296,2.1432255063,2.3499699038,2.1345223425,1.9829732008,1.8813954775,1.7374491811,1.7112220435,1.6613713411,1.6199580094
1.1781371556,2.9040063712,3.4347092206,2.8016180303,2.4516687091,2.2068220220,2.0105864521,1.8965778988,1.7985326403,1.7193457228
1.2514403127,2.0102071074,2.2006578019,1.8580006856,1.6923052922,1.5997947147,1.5425494203,1.4344903386,1.4391044693,1.4027468382
2.9626175375,3.7422895584,4.3365142741,3.7177125727,3.2422827204,2.9211643673,2.7190678597,2.7070294283,2.7330989679,2.6136636946
1.2548118215,2.5099718362,2.8661680437,2.6809527143,2.3261839333,2.0565237896,1.8565720808,1.6873248179,1.6314045116,1.5409962824
1.1304085124,2.2243363090,2.5843554994,2.1627113043,1.9425453242,1.7640068853,1.6379363696,1.5492730819,1.4475307152,1.3902208781
2.0460194872,3.0740967816,3.2357762311,2.9079765189,2.9074005569,2.8267489864,2.7286688129,2.6033185897,2.4889713201,2.3990404208
1.1679257755,3.2331318427,3.8158022249,3.3876601069,3.0215495393,2.7575182548,2.6176460528,2.4790754516,2.3884676098,2.3129788843
2.0145821751,3.5730071889,5.7401555140,4.9217245471,4.4489303246,4.1874333426,4.0278231822,3.9503566043,3.9107454169,3.8853155837
1.5045374999,2.1572306712,2.4240529201,2.1193459148,1.9197479660,1.7982704359,1.7139879904,1.6651503442,1.5833471101,1.6959228909
1.5327556269,4.5307490353,5.5777153116,4.6619752383,4.0385498563,3.6789055888,3.3708668581,3.1776146473,3.3582659023,3.5593628968
2.6762559077,5.6219865445,6.4501682778,5.9832855438,5.5316111225,5.1287274256,5.0927458150,5.1597378824,4.8988173047,4.8113789812
16.2433379036,18.2199289992,13.7727194120,10.7486187712,9.2563125493,8.1266441849,7.3305672317,6.6983781371,6.2246720771,5.8695335632
1.0866743950,1.5672782121,1.6099400179,1.3836634238,1.2679463900,1.1975962906,1.1331204879,1.0938620330,1.0692633844,1.0303097071
1.5255737645,2.7150600920,2.9269638833,2.5707246983,2.0200453304,1.9302207178,1.8380944941,1.7900526350,1.7555956669,1.8104941387
