3021354741002.2832031250,3708149430052.5810546875,2917624849271.8994140625,15581994642494.4492187500,16165557600739.0527343750,32858449436339.0507812500,4094507284493.6318359375,6647929828008.8486328125,10166623355793.5800781250,12807093132230.5566406250,32488867287468.9257812500,146883869656693.3750000000,5337443827385.0869140625,10429953061739.1679687500,23855977148588.5937500000,77522540736160.3437500000,69675628514949.7109375000,69680371920360.2734375000,4888311787836.6083984375,10815761433234.9257812500,20823400520490.8671875000,27440392896769.3671875000,27440392896769.3906250000,27440392896769.5078125000,4437919748840.5126953125,10509806636291.3476562500,20924422670545.8710937500,28971734597106.4140625000,28971734597106.4140625000,28971734597106.2304687500,4325954110814.2617187500,10118063952915.8515625000,20052231855064.7421875000,27710816332386.3671875000,27710816332386.3437500000,27710816332386.6054687500
2.2135181634,2.0882912039,1.6599522031,1.1989863482,1.3872151958,1.7861395875,2.1027391210,1.7127322438,0.8783012821,1.4608480953,2.5282455810,8.3698958798,1.5526518339,1.0742961747,1.4533475217,2.9885690507,4.3072079879,4.3071371949,1.4909015086,1.1943024110,1.8064991143,2.3849739732,2.3849739732,2.3849739732,1.5684345788,1.3747381803,2.2430560547,2.9973330862,2.9973330862,2.9973330862,1.5756488357,1.3847984372,2.2517359516,3.0081546252,3.0081546252,3.0081515723
0.6260239818,0.5726639181,0.6685551489,0.9767808132,1.8123099376,2.8008166497,0.5919523707,0.6505709061,0.8880317554,1.1032123636,1.3915239978,6.7406157946,0.6306866144,0.8219522829,1.3425124036,3.7033340234,5.5772552177,5.5771860019,0.6706103033,0.9714436402,1.6392499087,2.4022393304,2.4022393304,2.4022393304,0.6628355107,1.1214113799,2.0724804726,2.8608399643,2.8608399643,2.8608399643,0.6641527914,1.1342873317,2.1007116003,2.8999311539,2.8999304544,2.8999408899
0.5411619849,0.5230686273,0.6089186705,0.8112984518,1.1526858756,1.6978499162,0.5622738107,0.6576509200,0.9619425694,1.2112277090,1.6494631705,6.9380819473,0.6190780474,0.8655918723,1.4019525902,3.2018379325,3.5934106808,3.5933139082,0.6500606949,0.9797315973,1.6987831637,2.4152784699,2.4152784699,2.4152784699,0.6713691132,1.0997262695,1.9414541680,2.6454629496,2.6454629496,2.6454629496,0.6751453805,1.1210522927,1.9883191704,2.7105908218,2.7105908218,2.7105908218
0.6370856041,0.6019675725,0.6331292270,0.9129954698,1.3627096381,1.7102482703,0.6103149573,0.6854868232,1.0103789572,1.1097912687,1.7785155562,10.1734027150,0.6598734133,0.7769843422,1.3034922433,3.5946533693,4.2976234056,4.2976603988,0.7668411832,1.1351560438,1.9384687739,2.6808518894,2.6808518894,2.6808518894,0.8099943639,1.3182217861,2.1884476945,2.9076924839,2.9076924839,2.9076924839,0.8088586109,1.3287017580,2.2122478722,2.9404617447,2.9404617447,2.9404617493
0.7411800666,0.7212296336,0.8566839790,1.0113186885,1.8553309196,3.9350244618,0.8171595696,0.8577337938,1.2972942135,1.6335425500,2.0732476012,8.6757182534,0.8672610235,1.0737315670,1.6897878652,3.7500622001,4.3997120356,4.3991595250,0.9131692869,1.3467619839,2.2873499715,3.2210068831,3.2210068831,3.2210068831,0.9375021201,1.4971857334,2.6183604746,3.6143457559,3.6143457559,3.6143457559,0.9389046528,1.5116403213,2.6395255688,3.6404455905,3.6404455905,3.6404455905
145260820316.5026245117,209370175701.4589233398,1234521766743.9580078125,6064034024234.4589843750,9309565949091.2675781250,15797517046325.0566406250,2194562970416.5129394531,4325013729207.5053710938,5324327911931.6972656250,9087006455578.1757812500,12296828432811.6386718750,38095134777402.2734375000,1875599075326.9855957031,6429214137304.6347656250,11481515422408.0507812500,22110772291096.5937500000,20682896345984.1484375000,20682896345984.1484375000,1380172772078.9636230469,6132738875553.7656250000,13633870013619.3007812500,19714613408471.5820312500,19714613408471.5820312500,19714613408471.5820312500,1604334752861.2172851562,7328974090344.9843750000,17430395335860.7402343750,25287449635521.7382812500,25287449635521.7382812500,25287449635521.7382812500,1543897113381.4953613281,7162475751683.8574218750,17081561835199.1035156250,24766281600161.2851562500,24766281600161.2851562500,24766281600161.2851562500
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.9707264644,0.8925955406,0.8156343369,0.9025481799,1.3054946521,2.1446450280,0.9099029203,0.8503973539,0.8394508653,1.5742778668,2.5648272939,9.4320905609,0.9967739206,0.8803946070,1.3869152747,3.9418097667,5.1342473913,5.1342372939,1.1927517787,1.5415166712,2.4462847160,3.3754683197,3.3754683197,3.3754683197,1.2568184766,1.9518373750,3.3403487726,4.5595300379,4.5595301945,4.5595300204,1.2571913306,1.9698141300,3.3568837197,4.5806352958,4.5806409914,4.5806394202
0.5228811534,0.4943094602,0.4778006321,0.6242189509,0.8965865265,1.2540322889,0.5163198614,0.5365379736,0.7303640183,0.8769639801,1.9578833579,7.8090718566,0.5797059806,0.7275874167,1.6027335501,4.8318260940,4.9408769479,4.9408711604,0.5953434724,0.8974397156,1.7818502894,2.8978552886,2.8978443982,2.8978443982,0.5978246063,0.9287670854,1.5883373766,2.1423993356,2.1423993357,2.1423993357,0.5993176441,0.9403130854,1.6161757633,2.1812561919,2.1812561919,2.1812561919
