Z,PCAES,SCG,FS,XB,B,K,T,FH,AWCD
9.90000,1.64000,1.02000,9.90000,9.90000,1.58000,1.58000,1.84000,1.08000,1.02000
1.02000,1.36000,1.04000,4.04000,1.54000,1.62000,1.54000,1.78000,1.06000,1.06000
1.02000,1.02000,1.02000,1.02000,6.00000,1.62000,1.40000,1.78000,1.02000,1.16000
1.02000,1.02000,1.10000,1.10000,1.86000,1.62000,1.34000,1.86000,1.04000,1.10000
1.02000,1.46000,1.06000,1.06000,1.22000,1.58000,1.44000,1.74000,1.10000,1.04000
1.02000,1.08000,1.04000,1.04000,1.30000,1.60000,1.50000,1.68000,1.08000,1.04000
1.02000,1.14000,1.02000,1.02000,1.16000,1.68000,1.56000,1.68000,1.02000,1.02000
1.04000,1.02000,1.02000,1.02000,1.38000,1.62000,1.44000,2.00000,1.02000,1.02000
1.02000,1.10000,1.02000,1.02000,1.20000,1.58000,1.38000,1.66000,1.04000,1.02000
1.10000,1.02000,1.02000,3.08000,1.02000,1.36000,1.36000,1.66000,1.02000,1.06000
1.40000,1.70000,1.02000,3.58000,1.40000,1.54000,1.52000,1.78000,1.02000,1.02000
1.04000,1.70000,1.02000,3.18000,1.44000,1.54000,1.46000,1.68000,1.04000,1.02000
1.02000,1.06000,1.02000,1.02000,1.02000,1.48000,1.40000,1.60000,1.02000,1.02000
1.02000,1.02000,1.04000,1.06000,1.08000,1.50000,1.44000,1.56000,1.02000,1.04000
1.02000,1.02000,1.12000,1.12000,1.20000,1.54000,1.46000,1.54000,1.12000,1.12000
1.02000,1.12000,1.02000,1.04000,1.26000,1.54000,1.26000,1.82000,1.02000,1.02000
1.02000,1.02000,1.04000,1.04000,1.06000,1.54000,1.50000,1.54000,1.04000,1.20000
1.02000,1.10000,1.04000,1.04000,1.24000,1.58000,1.40000,1.60000,1.04000,1.04000
1.16000,1.14000,1.02000,2.16000,1.02000,1.26000,1.26000,1.56000,1.04000,1.02000
1.26000,1.22000,1.02000,1.96000,1.02000,1.38000,1.36000,1.56000,1.02000,1.02000
1.02000,1.16000,1.08000,2.10000,1.08000,1.40000,1.32000,1.56000,1.08000,1.08000
1.02000,1.04000,1.02000,1.04000,1.02000,1.42000,1.36000,1.60000,1.02000,1.02000
1.02000,1.12000,1.02000,1.04000,1.06000,1.46000,1.30000,1.86000,1.04000,1.02000
1.02000,1.06000,1.02000,1.02000,1.04000,1.48000,1.50000,1.52000,1.02000,1.02000
1.02000,1.02000,1.02000,1.18000,1.18000,1.48000,1.46000,1.52000,1.06000,1.04000
1.02000,1.14000,1.02000,1.14000,1.16000,1.46000,1.26000,1.54000,1.02000,1.02000
