2.5315242257,2.3029447424,2.0344194119,1.9923927627,1.9237715602,1.7758967235,1.5378776273,1.4446688341,1.4788747672,1.4406750420
9007199254743.4335937500,9008789588169.5664062500,10500471823968.4101562500,11023676367767.3359375000,8414043083701.7988281250,9177298016458.1796875000,8269609730055.0029296875,8628925181029.5410156250,7524929233410.0937500000,7570063014462.2861328125
2.8040919852,2.6699377955,2.6424102591,2.4690497441,2.5044854147,2.4623690852,2.4439076407,2.2007350361,2.1673526887,2.0993466454
8106479329269.9033203125,6079859496952.7519531250,6752657032739.1982421875,4406586722722.3193359375,5583524436578.4384765625,4660079483847.6308593750,3696396630480.5600585938,5381246122522.9941406250,5044433024484.8828125000,5992447967997.1357421875
3.7530412243,3.5749462197,3.1469465570,3.4246419139,3.2074713347,2.5819876521,2.5998861996,2.5348672196,2.5074614492,2.2776311074
3.3745255829,2.6374748158,2.3084998238,1.6632752206,1.7622491704,1.9953331805,1.8661168899,1.6319918342,1.8284601290,1.9356429884
2.6890058335,1.6443459026,1.5528200971,1.5711571028,1.3543470528,1.2478403363,1.3669566094,1.4583589224,1.5037291187,1.4548550180
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.2387139658,1.5516221583,1.3847942962,1.4600473148,1.4121934249,1.4148877793,1.2925062019,1.3162178754,1.3856536789,1.4202450758
3.2845728882,2.5642112024,2.5370450899,2.2989000384,2.1038803799,2.3734834602,2.5815402208,2.3369496894,2.5716111985,2.7628561192
2.6596620034,2.5297320157,2.1417322408,1.9890663947,1.8671857448,1.8276733055,1.8583523112,1.8538195005,1.8977992455,1.9004818751
3.0987647904,2.5565437431,2.2327722753,2.1781388066,2.1058436725,2.0621520595,2.0065125765,1.9643486948,2.0452191076,2.1079874287
2.3126643966,1.7536988426,1.8902215177,1.5152827478,1.4273485818,1.4752883234,1.5914686518,1.3938834592,1.4434624184,1.5481428334
6.6109276391,5.6072034369,5.1792830893,5.1086152197,5.4588964781,5.7610404477,5.7869289338,6.0705849808,5.8916902755,5.7091543651
4.9046532809,2.7098564825,2.7738016079,3.0797717634,2.7378413088,2.3499253553,2.3440288264,1.9862284406,1.8220441736,1.9248153915
3.8186433272,2.5102057106,2.4242265406,1.9777510081,2.3799457424,2.3230876692,2.3385906604,2.4980942477,2.1622636520,2.3458560469
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19365478397694.7890625000,10339787723988.3945312500,17642620772176.7890625000,15031539045321.8281250000,17223263398799.4179687500,18071305557694.1640625000,17485016740003.7441406250,18598611407286.3906250000,19487667848831.4414062500,17727157179202.3359375000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3.3468760442,2.2042915658,1.7158374923,1.8517277221,1.7039593143,1.4279908202,1.4441440118,1.5098222725,1.6366532329,1.6487808352
5854679515583.7910156250,5180490656770.6875000000,1595866528140.1125488281,1866740048630.9179687500,886736225951.2824707031,868653952482.2360839844,370732183554.0695800781,1259528837409.3564453125,586040149479.6311035156,83624662933.8708801270
11709359031167.4082031250,6588419387620.8193359375,5004758505227.9052734375,3141759948612.5810546875,1578528077912.7385253906,457751733771.1202392578,228430801080.2642517090,795317947159.7967529297,1142810103521.5852050781,1462663750863.5747070312
2.0324706477,1.6710989076,1.4741587343,1.3520259563,1.2555434813,1.2507078001,1.1986867033,1.1879868201,1.1604975229,1.1666054074
900719925476.3518066406,1125899906844.5239257812,2692399442566.5004882812,3253222819214.6752929688,3676047923389.1435546875,2562536128156.9672851562,3271377442584.7099609375,3805024221440.7646484375,4171238271560.7250976562,4419666675544.5605468750
2.1052455035,1.6133169466,1.4761994810,1.4238294741,1.3488515627,1.3434568855,1.3628192505,1.3193041048,1.3119164987,1.3117745623
3.0450898280,2.0127509993,1.9172899563,1.8202976888,1.8110677926,1.7702656053,1.7263425162,1.6667701683,1.6519018265,1.6440346151
17113678584010.5507812500,7732854691009.0488281250,9081335739187.4707031250,9820111679840.3750000000,10293267525399.8164062500,10809455749351.7460937500,11745538717135.6210937500,13477902374768.2675781250,13288769621539.9804687500,11920318551888.0117187500
2.9357613832,3.0199261701,2.2143355245,1.8527446446,1.3524184815,1.5429598706,1.7758494940,1.9327092004,2.0966331475,2.1136452563
2.7838923706,2.9740533934,3.1306792501,3.1344384330,2.2839163480,2.1175734714,1.8513879036,1.7952134935,1.6421927919,1.5134506442
2.3361955748,2.0895184109,2.0080519593,1.9396242383,1.7922045618,1.7632089452,1.5573362878,1.5592056259,1.6005479177,1.6158744655
