B,FS,K,T
3.0117245737,1.8439848428,1.0126017554,1.7365772429
1.1047029806,1.3714081591,1.0201971278,1.7823206504
1.0179719922,1.0175753060,1.5078959704,2.0292625820
1.0180766511,1.0345183915,1.0124811457,2.3565805820
3.1847742342,1.0224150683,3.1625474437,1.2352610283
2.3998756963,1.0066513828,1.0137511016,1.4563270243
4.5718828889,1.0346559465,1.3529637228,2.7152402437
2.6002479992,1.0254191565,1.3318953170,2.1838045309
4.6372556597,1.0292470177,3.0356644316,2.4222532208
4.6056644460,1.1272052248,2.2489286902,1.7418588721
3.7137417767,1.0807425868,2.7912666293,1.6187160765
3.3574047790,1.5687572873,3.4156290832,1.6050843176
3.5395194518,1.0178522014,1.0408281495,2.1112134843
2.2005018534,1.0396612338,1.0236024246,1.7244759333
3.0069632095,1.0153019121,1.5538526063,1.9246531215
4.1391098824,1.0249305829,4.1739137544,1.3547481361
4.3666912734,1.0329144101,1.1095451628,2.0310739969
3.8987883115,1.0355535623,2.5263390920,2.3950181098
4.0579575216,1.0281986995,1.1639141854,2.9173181660
1.2368945820,1.0267840556,1.2069788894,1.2707791396
1.0091690045,1.1238462557,1.0386169257,1.7639292985
5.1886782892,1.3970748778,3.8759155827,2.4888316681
2.5446585880,1.0200758976,1.0596238434,2.1637960653
2.8487844833,1.0166235066,1.0843708968,1.2744075232
3.3004531918,1.0551120503,3.3377875666,1.7588734587
1.0126275561,1.0261932236,1.0256275194,2.4407097519
1.0126598550,1.0388634580,1.0266376015,2.2654720612
4.5425280144,1.5455538496,1.3436569933,1.4424399994
2.5972675384,1.1697482511,1.7620699996,1.0762284364
2.5258651892,1.0157668600,1.1594928438,1.8636523852
