B,FS,K,T
1.0532548711,1.1011023978,1.0642934380,1.0532640218
1.0536962228,1.0995977973,1.0652657534,1.0430431030
1.0512879165,1.0994726132,1.0725611410,1.0373882560
1.0513520183,1.1003976077,1.0628690745,1.0382170976
1.0615856302,1.1005269020,1.0722352779,1.0445485069
1.0512191872,1.0980169466,1.0641564590,1.0431313584
1.0567328189,1.1015271305,1.0681886291,1.0499149617
1.0525537254,1.0998046449,1.0677341105,1.0473822257
1.0555897720,1.1005093490,1.0648674528,1.0414211943
1.0568088845,1.1009389648,1.0681900062,1.0418769307
1.0579150289,1.1033988640,1.0663061032,1.0379569460
1.0583713043,1.1043025023,1.0671404831,1.0419101653
1.0555741632,1.0987146060,1.0653455345,1.0480313285
1.0566415671,1.1012123668,1.0639851395,1.0371534042
1.0576375416,1.0995225456,1.0681837656,1.0482755036
1.0536100090,1.0991501151,1.0669791573,1.0511370179
1.0597280467,1.1005011217,1.0701453009,1.0397745261
1.0558573712,1.1001831918,1.0653516810,1.0492658569
1.0566850722,1.1001652585,1.0659458970,1.0384176263
1.0559839565,1.1012584835,1.0708728790,1.0367643579
1.0508402685,1.1023194069,1.0656700668,1.0453832042
1.0601162523,1.1063147960,1.0698126212,1.0391013297
1.0517117066,1.0999565435,1.0657590691,1.0448156545
1.0571430877,1.0986196452,1.0660832891,1.0458661801
1.0524727811,1.1027047725,1.0677368644,1.0466585091
1.0509006245,1.1019201125,1.0652573325,1.0378192406
1.0513219670,1.0994246374,1.0644394721,1.0433843999
1.0751323148,1.1015977381,1.0670354619,1.0475021926
1.0601871674,1.1036427365,1.0733399095,1.0366705490
1.0540782567,1.0994741739,1.0723650735,1.0401586751
