B,FS,K,T
0.2538129158,0.5652925912,0.2733587548,0.2488932954
0.2543291668,0.5581950481,0.2742407928,0.2493879456
0.2537537748,0.5521518144,0.2736679395,0.2491454238
0.2544421314,0.5626033863,0.2741224402,0.2488059659
0.2539274846,0.5604527656,0.2739032553,0.2493415808
0.2538895116,0.5584822198,0.2728466294,0.2491017893
0.2539768413,0.5703733674,0.2749638218,0.2489884593
0.2535431735,0.5639498303,0.2730914311,0.2497498837
0.2536298251,0.5536183920,0.2738820303,0.2498372026
0.2543832209,0.5645141577,0.2752479576,0.2490614833
0.2548928120,0.5616955756,0.2785180074,0.2500753771
0.2542206260,0.5539856119,0.2742821491,0.2496699387
0.2564158865,0.5600054272,0.2772316383,0.2494267169
0.2563104244,0.5654702894,0.2776600208,0.2497807187
0.2544487272,0.5531795897,0.2739625201,0.2490811540
0.2538494172,0.5648793883,0.2733460582,0.2489671097
0.2543565038,0.5592804298,0.2739573399,0.2489562160
0.2541007676,0.5617358071,0.2738569520,0.2491798753
0.2538253605,0.5575623359,0.2735188308,0.2490172907
0.2551816998,0.5606392297,0.2768761760,0.2496425803
0.2542552766,0.5619185973,0.2754215523,0.2490704969
0.2542761563,0.5636330878,0.2740527391,0.2497584901
0.2539449245,0.5613673857,0.2733273701,0.2497017708
0.2558850377,0.5613593771,0.2744070751,0.2491245928
0.2538882085,0.5591984373,0.2736749784,0.2491334350
0.2556486861,0.5587663428,0.2754826875,0.2497718344
0.2551290166,0.5577946468,0.2731462361,0.2490928895
0.2558863713,0.5570854399,0.2753109698,0.2492719469
0.2550506752,0.5645434669,0.2738000651,0.2498275829
0.2539285091,0.5584552171,0.2728506654,0.2496072640
