2806310883876.3627929688,2893141724845.3247070312,5151959595073.2568359375,23407219722128.2421875000,28036711163642.0078125000,4586972816667.8457031250,2843322913971.4628906250,3630258316768.1030273438,6671108876567.6757812500,6433441920055.6464843750,51231364312532.4453125000,179622983977471.3750000000,3894155647571.9541015625,5859638134821.7978515625,7749775763422.4687500000,6715317020070.3662109375,6718036030498.0830078125,6716790920349.8437500000,4977780694516.2548828125,12450758369160.0292968750,24730113439497.9960937500,34495320927496.1875000000,34495320927496.2070312500,34495320927495.5859375000,4515528053465.5957031250,10845534857996.7382812500,21719160383973.0312500000,30139227672529.5195312500,30139227672529.4765625000,30139227619741.7382812500,4337722475618.1123046875,10159105074539.0429687500,20144944661527.2421875000,27845215149812.5390625000,27845215149812.4765625000,27845215149812.7968750000
2.3024889303,2.2568259633,2.0352205445,1.7535876748,1.2389107318,1.6020131474,2.1642324039,1.6034785385,1.0085474724,1.9367713802,3.1153929583,13.1567354302,1.3047184236,1.2872131228,1.7155173018,2.6287108635,2.6423744832,2.6423149109,1.5093247674,1.2637422296,2.0721156601,2.7487688439,2.7487688439,2.7487688439,1.5615020039,1.3551344892,2.2046262696,2.9459466369,2.9459466079,2.9459466079,1.5739253995,1.3777238563,2.2385357939,2.9884141168,2.9884141168,2.9884141168
0.6512064291,0.6501876571,0.6408663146,1.0989314305,1.6311761463,3.4306213107,0.6513653943,0.6727074325,0.7996006256,1.3444430766,3.7648236312,18.4301035774,0.6468370936,0.7788682998,1.1307520049,1.9866918152,2.0174593539,2.0174896914,0.6485435015,1.0024467221,1.7567183169,2.4287209086,2.4287209086,2.4287209086,0.6689979906,1.0739152757,1.9623447377,2.7034877670,2.7034890935,2.7034877670,0.6639013531,1.1290180524,2.0885220135,2.8823715554,2.8823717786,2.8823715554
0.5747183387,0.5575134681,0.5646360278,0.8514468372,0.9322752892,1.3970798744,0.5742030783,0.5824893947,0.7961955448,1.3153583410,2.4544975013,10.6906510337,0.5982377606,0.7027246996,1.1028827298,2.7317740753,2.7310432079,2.7310237714,0.6599385948,1.0246056469,1.7764862316,2.4028255121,2.4028255121,2.4028255121,0.6743615632,1.1095832247,1.9649880749,2.6797687827,2.6797687827,2.6797687530,0.6752471540,1.1208904093,1.9876478464,2.7096195478,2.7096195081,2.7096194903
0.6788026718,0.6972864720,0.6385632387,0.6957232517,0.9480503009,1.4487849677,0.7050721257,0.7238210888,1.0120518195,1.6456171366,3.4897383953,18.4947917446,0.7227165365,0.8590792867,1.2963144278,2.7805557760,2.8013517259,2.8011849140,0.8014677894,1.2259972644,2.0125008342,2.7053400021,2.7053400021,2.7053400021,0.8106342115,1.3125203970,2.1774230738,2.8947018106,2.8947018106,2.8947017950,0.8090790403,1.3282000971,2.2117748840,2.9401532768,2.9401531501,2.9401531557
0.7868234699,0.7880048465,0.7686048950,1.0097172278,1.2247227091,2.1148217005,0.7941680213,0.7605312063,1.0092177169,1.6015796628,3.2134773160,15.4612527969,0.8065774850,0.8992889792,1.3920613596,2.8381930877,2.8610123628,2.8609330105,0.9179790864,1.3733091230,2.4030852727,3.3512415323,3.3512415323,3.3512415859,0.9408136960,1.5100705952,2.6547084165,3.6692750690,3.6692750690,3.6692750690,0.9391570559,1.5119775205,2.6399839407,3.6411195013,3.6411195013,3.6411195013
193914749821.2669372559,558368091492.7862548828,1978370660866.6816406250,2113358052384.4772949219,5888799649001.5078125000,9507002909398.5488281250,165774774457.8596496582,2027950261745.3601074219,2948635053554.8608398438,4224814319118.5039062500,3268090478222.5781250000,62491772669277.3359375000,481296135124.0797729492,1698734265494.1276855469,3646609893038.4648437500,3020938987327.5024414062,3015405663594.9453125000,3015405663594.9448242188,1785724159013.6577148438,7810769485454.5253906250,18325894720794.2578125000,26760818452543.5859375000,26760818452543.5859375000,26760818452543.5859375000,1695981863623.6474609375,7770474720302.8027343750,18511612665721.1718750000,26876220349238.7578125000,26876220349238.7578125000,26876220349238.7578125000,1552886005301.9104003906,7197120240276.6796875000,17160876972213.4414062500,24882718736764.2617187500,24882718736764.2617187500,24882718736764.2617187500
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.0797380646,1.0911930030,1.0461011180,1.1131032893,1.3876539404,1.8025379118,1.1137878304,1.1071789563,1.4083302334,2.2780287775,3.9587740366,25.1584156860,1.0816493787,1.2040580764,1.5272011097,2.9001555370,2.9063149885,2.9066787011,1.1898899392,1.5890742272,2.5657696735,3.4240448315,3.4240465485,3.4240449052,1.2537239703,1.9362228152,3.3160164877,4.5263125368,4.5262788829,4.5263130656,1.2582751874,1.9737189598,3.3683344654,4.5975869815,4.5975525265,4.5977000132
0.5304829662,0.5355279615,0.4975828991,0.5683009541,0.8773208538,1.3867095249,0.5501311174,0.6352207624,0.7338868670,1.1965829741,3.5006406842,23.0635428518,0.5648584860,0.6364636210,0.9001054489,2.4973050032,2.5041050184,2.5040548550,0.5897328686,0.8868307050,1.4874521899,1.9966522110,1.9966522110,1.9966521344,0.5997987702,0.9339838997,1.5966906254,2.1554584104,2.1554583342,2.1554583348,0.6000619858,0.9431973577,1.6226795851,2.1907325926,2.1907325926,2.1907325926
