3.7923780023,3.6173218364,2.9771333431,3.4743696725,3.3008068182,5.4721351383,3.7312551327,3.0192230993,3.2059958074,4.4646373492,5.6147596104,5.6163484503,3.8968644077,3.8579478933,4.2540095860,4.2540095860,4.2540095860,4.2540095860,4.0695236403,4.4866197464,4.4866197464,4.4866197464,4.4866197464,4.4866197464,4.0824702034,4.5359186804,4.5359186804,4.5359187055,4.5359186804,4.5359187055,4.0844725940,4.5444740103,4.5444740102,4.5444740103,4.5444725249,4.5444740103
3.4522615085,3.3557609606,2.8533552901,3.1328621868,3.0475835466,4.3915965569,3.4423974937,2.9813714155,2.7878673354,3.6236891236,4.7016211498,4.7041494368,3.5859216819,3.3578303397,3.6476076204,3.6476076204,3.6476076204,3.6476076204,3.6925497540,4.0866898989,4.0866898989,4.0866898989,4.0866898989,4.0866898989,3.7003733627,4.1309806480,4.1309822667,4.1309805924,4.1309822667,4.1309805924,3.6962455364,4.1202217899,4.1202217899,4.1202230530,4.1202216188,4.1202230530
5356118919770.4023437500,4960306891862.8886718750,3420356159186.6669921875,2363073678083.5439453125,2723004102389.1049804688,6988112861573.7890625000,4838001132155.1582031250,3423110824515.1591796875,922889385283.2253417969,1823453049990.2343750000,1286241051522.7280273438,1280388434967.8149414062,5226639867826.8759765625,4259628239198.8164062500,5411926055483.1552734375,5411926055483.1660156250,5411926055483.1660156250,5411926055483.1552734375,5630030238059.7880859375,6024133834541.2832031250,6024133834541.2832031250,6024133834541.2832031250,6024133834541.2832031250,6024133834541.2832031250,5686513512355.6503906250,6242700091452.9121093750,6242700091452.9121093750,6242700091452.9121093750,6242700091452.9121093750,6242700091452.9121093750,5768706599678.5058593750,6492184504686.8515625000,6492184504686.8515625000,6492184504686.8515625000,6492184504686.8515625000,6492184504686.8515625000
7.5843639615,7.3611065847,6.3636771862,5.7042398444,5.8396989022,8.5881510549,7.3217109161,6.0753514746,4.5495716001,7.1789694835,8.7978658257,8.7971133199,7.7107832193,7.4115856966,8.1741371393,8.1741371393,8.1741371393,8.1741371393,8.1410414671,9.0760843629,9.0760843629,9.0760843629,9.0760843629,9.0760843629,8.1610234996,9.1709382399,9.1709382399,9.1709382399,9.1709382399,9.1709382399,8.1600467362,9.1745012265,9.1745012265,9.1745012265,9.1745012265,9.1745012265
4.8389010544,4.6910247187,4.3036178573,4.2974863267,4.0360196548,5.5983701095,4.8282571226,4.4153145312,3.6916930235,5.3095614436,6.4124001517,6.4148670235,5.1912812616,5.0557306546,5.4124846108,5.4124846108,5.4124846108,5.4124846108,5.3576846695,5.8967299939,5.8967299939,5.8967299939,5.8967299939,5.8967299939,5.3533169318,5.8902276080,5.8902276080,5.8902276080,5.8902276080,5.8902276080,5.3556110078,5.9009722400,5.9009722400,5.9009722400,5.9009722400,5.9009722400
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4.7734775213,4.6018128571,3.7888187804,3.8685362137,4.3166116373,5.5829309799,4.6793573861,3.7979387858,3.5077945141,4.7714221511,5.8829931870,5.8828889148,4.8807388485,4.5247104075,4.6376471049,4.6376471049,4.6376471049,4.6376471049,5.0779443684,5.5900361338,5.5900361338,5.5900361338,5.5900361338,5.5900361338,5.0961383416,5.6580022028,5.6580022028,5.6579924682,5.6580037273,5.6579892312,5.1005033672,5.6738733955,5.6738733955,5.6738573969,5.6738733955,5.6738573446
5.6728832674,5.4737151982,4.6552208352,4.5691849001,4.2848706537,5.4958740540,5.5030159106,4.8342354044,3.6680463564,4.7641523664,5.7215051723,5.7224282490,5.8458704412,5.3709282173,5.7388430210,5.7388430210,5.7388430210,5.7388430210,6.0346144318,6.6473722965,6.6473722965,6.6473722965,6.6473722965,6.6473722965,6.0764150199,6.8100361031,6.8100361031,6.8100361032,6.8100361031,6.8100361032,6.0696265538,6.7915533234,6.7915533234,6.7915533234,6.7915417493,6.7915533234
4.3852765604,4.1630565433,3.5731285498,3.4479203890,2.9968177384,4.0763901868,4.2006915087,3.5238432879,2.6806146026,3.8582613164,4.4811015981,4.4810164089,4.4951368695,4.5527912971,4.8655232657,4.8655232657,4.8655232657,4.8655232657,4.6431744830,5.0870348985,5.0870348985,5.0870348985,5.0870348985,5.0870348985,4.6811478634,5.2089903993,5.2089903990,5.2089904054,5.2089903990,5.2089904054,4.6797988258,5.2089062327,5.2089062327,5.2089062327,5.2089062327,5.2089062327
5.5365384001,5.2438264478,4.4524798490,4.8328961442,5.1715015481,9.7499069833,5.4051789868,4.6379358001,3.7222627003,6.0845036160,7.6494392103,7.6428907003,5.8274752127,5.6807109903,6.1584264328,6.1584264328,6.1584264328,6.1584264328,6.0131905898,6.7173577812,6.7173577812,6.7173577812,6.7173577812,6.7173577812,5.9995575129,6.7032149261,6.7032149484,6.7032114082,6.7032150108,6.7032114082,5.9876437087,6.6695063783,6.6695063783,6.6695063787,6.6695048926,6.6695063786
