B,FS,K,T
0.27999,0.00259,0.26802,0.24886
0.12586,0.27806,0.27806,0.27806
0.14176,0.15591,0.12495,0.12495
0.67262,0.99999,0.64022,0.64689
0.42941,0.10719,0.42941,0.41062
0.54463,0.44107,0.54222,0.53478
0.25437,0.00958,0.25437,0.22257
0.27553,0.27915,0.27900,0.26135
0.56003,0.61398,0.55720,0.55146
0.34335,0.00491,0.34335,0.33204
0.29253,0.00576,0.29429,0.29781
0.31065,0.00035,0.33998,0.31434
0.48750,0.52595,0.52513,0.52378
0.41270,0.47219,0.44458,0.42641
0.23742,0.00467,0.24322,0.21863
0.23742,0.00467,0.24322,0.21863
0.02973,0.06226,0.05849,0.04368
0.09574,0.14340,0.14312,0.14312
0.21062,0.00039,0.21623,0.17343
0.28648,0.00135,0.28648,0.25901
0.28318,0.01941,0.26122,0.21962
0.40866,0.48088,0.43231,0.41780
0.25376,0.00357,0.26005,0.23425
0.19071,0.00362,0.19071,0.16353
0.12299,0.19700,0.11784,0.11784
0.12443,0.15250,0.13678,0.11901
0.16917,0.25878,0.12348,0.11783
0.08425,0.08835,0.08754,0.08044
0.26569,0.39228,0.37556,0.29019
0.29360,0.01079,0.30948,0.28841
0.37098,0.43229,0.38594,0.37973
0.12723,0.00479,0.12723,0.05965
0.11251,0.00472,0.11251,0.04682
0.14920,0.00876,0.14920,0.05374
0.10748,0.00749,0.10748,0.03366
0.42501,0.00968,0.42673,0.29947
0.44907,0.99999,0.44907,0.43355
0.30578,0.00392,0.30578,0.28593
0.28519,0.00432,0.28519,0.28519
0.23160,0.00949,0.23160,0.20302
0.15531,0.32577,0.22331,0.15531
0.41003,0.00810,0.41003,0.38912
0.25031,0.00450,0.24669,0.20622
0.17439,0.00625,0.17439,0.15437
0.30721,0.00609,0.35646,0.29887
0.97924,0.94039,0.00210,0.00210
0.48681,0.40017,0.48681,0.47884
0.47121,0.52869,0.46251,0.46251
0.29344,0.00385,0.29344,0.27459
0.09856,0.27439,0.27213,0.08946
0.15347,0.30813,0.22916,0.19838
0.23126,0.99999,0.28727,0.19865
0.21957,0.00976,0.21957,0.18711
0.10009,0.00839,0.10009,0.07318
0.06595,0.06774,0.06595,0.05028
0.04640,0.04640,0.04640,0.04096
0.17533,0.00905,0.17533,0.12844
0.08670,0.00249,0.08670,0.06283
0.04934,0.00150,0.04934,0.03476
0.03115,0.03115,0.03115,0.02701
0.15036,0.00692,0.15036,0.11132
0.08251,0.00199,0.08251,0.05290
0.03932,0.02422,0.03932,0.02422
0.02472,0.01372,0.02472,0.02032
0.14900,0.00463,0.14900,0.10691
0.11301,0.00750,0.11301,0.07921
0.06417,0.00348,0.06417,0.04950
0.04785,0.05175,0.04785,0.04249
0.24288,0.00323,0.24288,0.15942
0.12793,0.00037,0.12793,0.10490
0.05707,0.00288,0.05707,0.04369
0.03318,0.03318,0.03318,0.02913
0.19771,0.00536,0.19771,0.16216
